"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error","Illusion_Effect","Task_Difficulty","Condition_Illusion","Condition_Difficulty"
"S003","MullerLyer",-0.1337,18,"MullerLyer_18.0000_-0.1337.png","B",78,1038734,0.109,"arrowup","arrowdown",1,"Incongruent",0.1337,"Incongruent - Strong","Hard"
"S003","MullerLyer",0.24183,24,"MullerLyer_24.0000_0.24183.png","B",79,1039682,0,"arrowup","arrowup",0,"Incongruent",0.24183,"Incongruent - Strong","Easy"
"S003","MullerLyer",0.24183,30,"MullerLyer_30.0000_0.24183.png","B",80,1040433,0.012,"arrowup","arrowup",0,"Incongruent",0.24183,"Incongruent - Strong","Easy"
"S003","Ebbinghaus",0.05,-0.6,"Ebbinghaus_-0.6000_0.05000.png","B",1,1055510,1.142,"arrowleft","arrowleft",0,"Congruent",0.05,"Congruent - Mild","Hard"
"S003","Ebbinghaus",-0.14856,-0.9,"Ebbinghaus_-0.9000_-0.14856.png","B",2,1057624,0.44,"arrowright","arrowright",0,"Congruent",0.14856,"Congruent - Strong","Hard"
"S003","Ebbinghaus",0.05,-1.5,"Ebbinghaus_-1.5000_0.05000.png","B",3,1058898,1.08,"arrowright","arrowleft",1,"Congruent",0.05,"Congruent - Strong","Hard"
"S003","Ebbinghaus",0.05,0.9,"Ebbinghaus_0.90000_0.05000.png","B",4,1060875,0.675,"arrowright","arrowleft",1,"Incongruent",0.05,"Incongruent - Strong","Hard"
"S003","Ebbinghaus",-0.14856,-0.3,"Ebbinghaus_-0.3000_-0.14856.png","B",5,1062247,0.449,"arrowleft","arrowright",1,"Congruent",0.14856,"Congruent - Mild","Hard"
"S003","Ebbinghaus",-0.14856,0.3,"Ebbinghaus_0.30000_-0.14856.png","B",6,1063461,2.661,"arrowright","arrowright",0,"Incongruent",0.14856,"Incongruent - Mild","Hard"
"S003","Ebbinghaus",0.05,1.5,"Ebbinghaus_1.50000_0.05000.png","B",7,1066862,0.904,"arrowright","arrowleft",1,"Incongruent",0.05,"Incongruent - Strong","Hard"
"S003","Ebbinghaus",-0.2687,1.2,"Ebbinghaus_1.20000_-0.2687.png","B",8,1068487,0.544,"arrowright","arrowright",0,"Incongruent",0.2687,"Incongruent - Strong","Easy"
"S003","Ebbinghaus",0.2687,-0.6,"Ebbinghaus_-0.6000_0.26870.png","B",9,1069971,0.509,"arrowleft","arrowleft",0,"Congruent",0.2687,"Congruent - Mild","Easy"
"S003","Ebbinghaus",0.41515,-1.5,"Ebbinghaus_-1.5000_0.41515.png","B",10,1071286,0.711,"arrowleft","arrowleft",0,"Congruent",0.41515,"Congruent - Strong","Easy"
"S003","Ebbinghaus",-0.14856,-1.2,"Ebbinghaus_-1.2000_-0.14856.png","B",11,1072878,0.519,"arrowright","arrowright",0,"Congruent",0.14856,"Congruent - Strong","Hard"
"S003","Ebbinghaus",-0.14856,-1.5,"Ebbinghaus_-1.5000_-0.14856.png","B",12,1074083,0.787,"arrowright","arrowright",0,"Congruent",0.14856,"Congruent - Strong","Hard"
"S003","Ebbinghaus",0.41515,1.2,"Ebbinghaus_1.20000_0.41515.png","B",13,1075541,0.638,"arrowleft","arrowleft",0,"Incongruent",0.41515,"Incongruent - Strong","Easy"
"S003","Ebbinghaus",0.14856,-0.6,"Ebbinghaus_-0.6000_0.14856.png","B",14,1077140,0.481,"arrowright","arrowleft",1,"Congruent",0.14856,"Congruent - Mild","Hard"
"S003","Ebbinghaus",-0.05,-0.9,"Ebbinghaus_-0.9000_-0.0500.png","B",15,1078638,0.572,"arrowright","arrowright",0,"Congruent",0.05,"Congruent - Strong","Hard"
"S003","Ebbinghaus",-0.14856,1.5,"Ebbinghaus_1.50000_-0.14856.png","B",16,1080174,0.958,"arrowleft","arrowright",1,"Incongruent",0.14856,"Incongruent - Strong","Hard"
"S003","Ebbinghaus",-0.05,1.2,"Ebbinghaus_1.20000_-0.0500.png","B",17,1081907,0.665,"arrowleft","arrowright",1,"Incongruent",0.05,"Incongruent - Strong","Hard"
"S003","Ebbinghaus",0.2687,0.3,"Ebbinghaus_0.30000_0.26870.png","B",18,1083278,0.703,"arrowleft","arrowleft",0,"Incongruent",0.2687,"Incongruent - Mild","Easy"
"S003","Ebbinghaus",-0.2687,-1.2,"Ebbinghaus_-1.2000_-0.2687.png","B",19,1084933,0.729,"arrowright","arrowright",0,"Congruent",0.2687,"Congruent - Strong","Easy"
"S003","Ebbinghaus",0.41515,1.5,"Ebbinghaus_1.50000_0.41515.png","B",20,1086565,0.72,"arrowleft","arrowleft",0,"Incongruent",0.41515,"Incongruent - Strong","Easy"
"S003","Ebbinghaus",-0.14856,-0.6,"Ebbinghaus_-0.6000_-0.14856.png","B",21,1088036,0.669,"arrowright","arrowright",0,"Congruent",0.14856,"Congruent - Mild","Hard"
"S003","Ebbinghaus",0.41515,-1.2,"Ebbinghaus_-1.2000_0.41515.png","B",22,1089662,0.635,"arrowleft","arrowleft",0,"Congruent",0.41515,"Congruent - Strong","Easy"
"S003","Ebbinghaus",-0.2687,-0.3,"Ebbinghaus_-0.3000_-0.2687.png","B",23,1091186,0.532,"arrowright","arrowright",0,"Congruent",0.2687,"Congruent - Mild","Easy"
"S003","Ebbinghaus",-0.05,-1.2,"Ebbinghaus_-1.2000_-0.0500.png","B",24,1092786,1.04,"arrowleft","arrowright",1,"Congruent",0.05,"Congruent - Strong","Hard"
"S003","Ebbinghaus",-0.14856,0.6,"Ebbinghaus_0.60000_-0.14856.png","B",25,1094869,0.775,"arrowright","arrowright",0,"Incongruent",0.14856,"Incongruent - Mild","Hard"
"S003","Ebbinghaus",0.14856,1.2,"Ebbinghaus_1.20000_0.14856.png","B",26,1096442,0.82,"arrowleft","arrowleft",0,"Incongruent",0.14856,"Incongruent - Strong","Hard"
"S003","Ebbinghaus",0.14856,0.9,"Ebbinghaus_0.90000_0.14856.png","B",27,1097899,0.811,"arrowleft","arrowleft",0,"Incongruent",0.14856,"Incongruent - Strong","Hard"
"S003","Ebbinghaus",0.05,0.3,"Ebbinghaus_0.30000_0.05000.png","B",28,1099433,0.512,"arrowright","arrowleft",1,"Incongruent",0.05,"Incongruent - Mild","Hard"
"S003","Ebbinghaus",0.14856,-0.9,"Ebbinghaus_-0.9000_0.14856.png","B",29,1100741,0.713,"arrowleft","arrowleft",0,"Congruent",0.14856,"Congruent - Strong","Hard"
"S003","Ebbinghaus",-0.41515,1.2,"Ebbinghaus_1.20000_-0.41515.png","B",30,1102418,0.739,"arrowright","arrowright",0,"Incongruent",0.41515,"Incongruent - Strong","Easy"
"S003","Ebbinghaus",-0.05,1.5,"Ebbinghaus_1.50000_-0.0500.png","B",31,1104129,0.829,"arrowleft","arrowright",1,"Incongruent",0.05,"Incongruent - Strong","Hard"
"S003","Ebbinghaus",-0.05,0.3,"Ebbinghaus_0.30000_-0.0500.png","B",32,1105685,0.878,"arrowright","arrowright",0,"Incongruent",0.05,"Incongruent - Mild","Hard"
"S003","Ebbinghaus",0.05,-0.3,"Ebbinghaus_-0.3000_0.05000.png","B",33,1107454,0.784,"arrowleft","arrowleft",0,"Congruent",0.05,"Congruent - Mild","Hard"
"S003","Ebbinghaus",-0.41515,0.9,"Ebbinghaus_0.90000_-0.41515.png","B",34,1109086,1.329,"arrowright","arrowright",0,"Incongruent",0.41515,"Incongruent - Strong","Easy"
"S003","Ebbinghaus",0.14856,-1.5,"Ebbinghaus_-1.5000_0.14856.png","B",35,1111532,0.652,"arrowleft","arrowleft",0,"Congruent",0.14856,"Congruent - Strong","Hard"
"S003","Ebbinghaus",0.41515,0.3,"Ebbinghaus_0.30000_0.41515.png","B",36,1112873,0.897,"arrowleft","arrowleft",0,"Incongruent",0.41515,"Incongruent - Mild","Easy"
"S003","Ebbinghaus",0.2687,0.9,"Ebbinghaus_0.90000_0.26870.png","B",37,1114451,1.266,"arrowleft","arrowleft",0,"Incongruent",0.2687,"Incongruent - Strong","Easy"
"S003","Ebbinghaus",0.05,0.6,"Ebbinghaus_0.60000_0.05000.png","B",38,1116705,0.915,"arrowright","arrowleft",1,"Incongruent",0.05,"Incongruent - Mild","Hard"
"S003","Ebbinghaus",-0.2687,-0.9,"Ebbinghaus_-0.9000_-0.2687.png","B",39,1118546,0.672,"arrowright","arrowright",0,"Congruent",0.2687,"Congruent - Strong","Easy"
